14:13:34 INFO  application.AppManager - Start in browser CHROME
14:13:36 INFO  tests.TestBase - Start method  --> addContactTestCSV
14:13:36 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
14:13:46 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
14:13:46 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
14:13:46 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
14:13:46 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
14:13:46 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
14:13:46 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Password']
14:13:46 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Password']was found
14:13:46 INFO  application.MyListener - Start find element by -->By.xpath: //button[.=' Login']
14:13:46 INFO  application.MyListener - The element -->By.xpath: //button[.=' Login']was found
14:13:46 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='ADD']
14:13:47 INFO  application.MyListener - The element -->By.xpath: //*[.='ADD']was found
14:13:47 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
14:13:47 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
14:13:47 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
14:13:47 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
14:13:47 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
14:13:47 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
14:13:48 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
14:13:48 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
14:13:48 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
14:13:48 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
14:13:48 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
14:13:48 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
14:13:48 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
14:13:48 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
14:13:48 INFO  application.MyListener - Start find element by -->By.xpath: //button/b
14:13:48 INFO  application.MyListener - The element -->By.xpath: //button/bwas found
14:13:48 INFO  application.MyListener - Start find element by -->By.xpath: //h3
14:13:49 INFO  application.MyListener - The element -->By.xpath: //h3was found
14:13:49 INFO  tests.TestBase - End of method --> addContactTestCSV
14:13:49 INFO  tests.TestBase - Start method  --> addContactTestCSV
14:13:49 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
14:13:49 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
14:13:49 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
14:13:49 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
14:13:49 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
14:13:49 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
14:13:49 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
14:13:49 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
14:13:49 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
14:13:49 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
14:13:49 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
14:13:49 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
14:13:49 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
14:13:49 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
14:13:50 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
14:13:50 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
14:13:50 INFO  application.MyListener - Start find element by -->By.xpath: //button/b
14:13:50 INFO  application.MyListener - The element -->By.xpath: //button/bwas found
14:13:50 INFO  application.MyListener - Start find element by -->By.xpath: //h3
14:13:50 INFO  application.MyListener - The element -->By.xpath: //h3was found
14:13:50 INFO  tests.TestBase - End of method --> addContactTestCSV
